"Tabela 6773 - Número de estabelecimentos agropecuários e Área dos estabelecimentos agropecuários, por tipologia, condição legal do produtor, residência da pessoa que dirige o estabelecimento, finalidade principal da produção agropecuária do estabelecimento, renda obtida com as atividades desenvolvidas no estabelecimento e associação do produtor à cooperativa e/ou à entidade de classe - Ranking ascendente"
"Variável - Número de estabelecimentos agropecuários (Unidades)"
"Cód.";"Brasil e Município";"Finalidade principal da produção agropecuária do estabelecimento";"Renda obtida com as atividades desenvolvidas no estabelecimento";"#";"Associação do produtor à cooperativa e/ou à entidade de classe";"Ano x Tipologia x Condição legal do produtor x Residência da pessoa que dirige o estabelecimento"
"3531001";"Monções (SP)";"Total";"Total";"1";"Total";"6624"
"3531100";"Mongaguá (SP)";"Total";"Total";"1";"Total";"218"
"3531209";"Monte Alegre do Sul (SP)";"Total";"Total";"1";"Total";"3820"
"3531308";"Monte Alto (SP)";"Total";"Total";"1";"Total";"27463"
"3531407";"Monte Aprazível (SP)";"Total";"Total";"1";"Total";"46879"
"3531506";"Monte Azul Paulista (SP)";"Total";"Total";"1";"Total";"24081"
"3531605";"Monte Castelo (SP)";"Total";"Total";"1";"Total";"21279"
"3531704";"Monteiro Lobato (SP)";"Total";"Total";"1";"Total";"12696"
"3531803";"Monte Mor (SP)";"Total";"Total";"1";"Total";"11547"
"3531902";"Morro Agudo (SP)";"Total";"Total";"1";"Total";"114343"
"3532009";"Morungaba (SP)";"Total";"Total";"1";"Total";"6341"
"3532058";"Motuca (SP)";"Total";"Total";"1";"Total";"11024"
"3532108";"Murutinga do Sul (SP)";"Total";"Total";"1";"Total";"21984"
"3532157";"Nantes (SP)";"Total";"Total";"1";"Total";"18981"
"3532207";"Narandiba (SP)";"Total";"Total";"1";"Total";"42400"
"3532306";"Natividade da Serra (SP)";"Total";"Total";"1";"Total";"44281"
"3532405";"Nazaré Paulista (SP)";"Total";"Total";"1";"Total";"6210"
"3532504";"Neves Paulista (SP)";"Total";"Total";"1";"Total";"21299"
"3532603";"Nhandeara (SP)";"Total";"Total";"1";"Total";"34837"
"3532702";"Nipoã (SP)";"Total";"Total";"1";"Total";"15268"
"3532801";"Nova Aliança (SP)";"Total";"Total";"1";"Total";"17264"
"3532827";"Nova Campina (SP)";"Total";"Total";"1";"Total";"28527"
"3532843";"Nova Canaã Paulista (SP)";"Total";"Total";"1";"Total";"10468"
"3532868";"Nova Castilho (SP)";"Total";"Total";"1";"Total";"10490"
"3532900";"Nova Europa (SP)";"Total";"Total";"1";"Total";"15106"
"3533007";"Nova Granada (SP)";"Total";"Total";"1";"Total";"41161"
"3533106";"Nova Guataporanga (SP)";"Total";"Total";"1";"Total";"2820"
"3533205";"Nova Independência (SP)";"Total";"Total";"1";"Total";"22326"
"3533254";"Novais (SP)";"Total";"Total";"1";"Total";"7587"
"3533304";"Nova Luzitânia (SP)";"Total";"Total";"1";"Total";"8231"
"3533403";"Nova Odessa (SP)";"Total";"Total";"1";"Total";"907"
"3533502";"Novo Horizonte (SP)";"Total";"Total";"1";"Total";"72359"
"3533601";"Nuporanga (SP)";"Total";"Total";"1";"Total";"26104"
"3533700";"Ocauçu (SP)";"Total";"Total";"1";"Total";"31100"
"3533809";"Óleo (SP)";"Total";"Total";"1";"Total";"20088"
"3533908";"Olímpia (SP)";"Total";"Total";"1";"Total";"68191"
"3534005";"Onda Verde (SP)";"Total";"Total";"1";"Total";"16876"
"3534104";"Oriente (SP)";"Total";"Total";"1";"Total";"20604"
"3534203";"Orindiúva (SP)";"Total";"Total";"1";"Total";"23392"
"3534302";"Orlândia (SP)";"Total";"Total";"1";"Total";"25422"
"3534401";"Osasco (SP)";"Total";"Total";"1";"Total";"1"
"3534500";"Oscar Bressane (SP)";"Total";"Total";"1";"Total";"17660"
"3534609";"Osvaldo Cruz (SP)";"Total";"Total";"1";"Total";"19416"
"3534708";"Ourinhos (SP)";"Total";"Total";"1";"Total";"19358"
"3534757";"Ouroeste (SP)";"Total";"Total";"1";"Total";"22824"
"3534807";"Ouro Verde (SP)";"Total";"Total";"1";"Total";"26210"
"3534906";"Pacaembu (SP)";"Total";"Total";"1";"Total";"32712"
"3535002";"Palestina (SP)";"Total";"Total";"1";"Total";"64580"
"3535101";"Palmares Paulista (SP)";"Total";"Total";"1";"Total";"6515"
"3535200";"Palmeira d'Oeste (SP)";"Total";"Total";"1";"Total";"28090"
"3535309";"Palmital (SP)";"Total";"Total";"1";"Total";"46481"
"3535408";"Panorama (SP)";"Total";"Total";"1";"Total";"31351"
"3535507";"Paraguaçu Paulista (SP)";"Total";"Total";"1";"Total";"96265"
"3535606";"Paraibuna (SP)";"Total";"Total";"1";"Total";"33273"
"3535705";"Paraíso (SP)";"Total";"Total";"1";"Total";"10935"
"3535804";"Paranapanema (SP)";"Total";"Total";"1";"Total";"78678"
"3535903";"Paranapuã (SP)";"Total";"Total";"1";"Total";"13179"
"3536000";"Parapuã (SP)";"Total";"Total";"1";"Total";"30722"
"3536109";"Pardinho (SP)";"Total";"Total";"1";"Total";"19760"
"3536208";"Pariquera-Açu (SP)";"Total";"Total";"1";"Total";"13943"
"3536257";"Parisi (SP)";"Total";"Total";"1";"Total";"7295"
"3536307";"Patrocínio Paulista (SP)";"Total";"Total";"1";"Total";"42619"
"3536406";"Paulicéia (SP)";"Total";"Total";"1";"Total";"24155"
"3536505";"Paulínia (SP)";"Total";"Total";"1";"Total";"1897"
"3536570";"Paulistânia (SP)";"Total";"Total";"1";"Total";"21419"
"3536604";"Paulo de Faria (SP)";"Total";"Total";"1";"Total";"71585"
"3536703";"Pederneiras (SP)";"Total";"Total";"1";"Total";"52230"
"3536802";"Pedra Bela (SP)";"Total";"Total";"1";"Total";"7864"
"3536901";"Pedranópolis (SP)";"Total";"Total";"1";"Total";"23828"
"3537008";"Pedregulho (SP)";"Total";"Total";"1";"Total";"51577"
"3537107";"Pedreira (SP)";"Total";"Total";"1";"Total";"5251"
"3537156";"Pedrinhas Paulista (SP)";"Total";"Total";"1";"Total";"10630"
"3537206";"Pedro de Toledo (SP)";"Total";"Total";"1";"Total";"5642"
"3537305";"Penápolis (SP)";"Total";"Total";"1";"Total";"48757"
"3537404";"Pereira Barreto (SP)";"Total";"Total";"1";"Total";"66229"
"3537503";"Pereiras (SP)";"Total";"Total";"1";"Total";"13021"
"3537602";"Peruíbe (SP)";"Total";"Total";"1";"Total";"3780"
"3537701";"Piacatu (SP)";"Total";"Total";"1";"Total";"20601"
"3537800";"Piedade (SP)";"Total";"Total";"1";"Total";"27712"
"3537909";"Pilar do Sul (SP)";"Total";"Total";"1";"Total";"49254"
"3538006";"Pindamonhangaba (SP)";"Total";"Total";"1";"Total";"38397"
"3538105";"Pindorama (SP)";"Total";"Total";"1";"Total";"12638"
"3538204";"Pinhalzinho (SP)";"Total";"Total";"1";"Total";"6633"
"3538303";"Piquerobi (SP)";"Total";"Total";"1";"Total";"36236"
"3538501";"Piquete (SP)";"Total";"Total";"1";"Total";"6064"
"3538600";"Piracaia (SP)";"Total";"Total";"1";"Total";"15546"
"3538709";"Piracicaba (SP)";"Total";"Total";"1";"Total";"94188"
"3538808";"Piraju (SP)";"Total";"Total";"1";"Total";"31376"
"3538907";"Pirajuí (SP)";"Total";"Total";"1";"Total";"73159"
"3539004";"Pirangi (SP)";"Total";"Total";"1";"Total";"18420"
"3539103";"Pirapora do Bom Jesus (SP)";"Total";"Total";"1";"Total";"706"
"3539202";"Pirapozinho (SP)";"Total";"Total";"1";"Total";"36119"
"3539301";"Pirassununga (SP)";"Total";"Total";"1";"Total";"56335"
"3539400";"Piratininga (SP)";"Total";"Total";"1";"Total";"31472"
"3539509";"Pitangueiras (SP)";"Total";"Total";"1";"Total";"31939"
"3539608";"Planalto (SP)";"Total";"Total";"1";"Total";"27051"
"3539707";"Platina (SP)";"Total";"Total";"1";"Total";"27026"
"3539806";"Poá (SP)";"Total";"Total";"1";"Total";"41"
"3539905";"Poloni (SP)";"Total";"Total";"1";"Total";"10392"
"3540002";"Pompéia (SP)";"Total";"Total";"1";"Total";"75076"
"3540101";"Pongaí (SP)";"Total";"Total";"1";"Total";"11670"
"3540200";"Pontal (SP)";"Total";"Total";"1";"Total";"18736"
"3540259";"Pontalinda (SP)";"Total";"Total";"1";"Total";"17329"
"3540309";"Pontes Gestal (SP)";"Total";"Total";"1";"Total";"33941"
"3540408";"Populina (SP)";"Total";"Total";"1";"Total";"25230"
"3540507";"Porangaba (SP)";"Total";"Total";"1";"Total";"12855"
"3540606";"Porto Feliz (SP)";"Total";"Total";"1";"Total";"35402"
"3540705";"Porto Ferreira (SP)";"Total";"Total";"1";"Total";"15039"
"3540754";"Potim (SP)";"Total";"Total";"1";"Total";"3606"
"3540804";"Potirendaba (SP)";"Total";"Total";"1";"Total";"28355"
"3540853";"Pracinha (SP)";"Total";"Total";"1";"Total";"6241"
"3540903";"Pradópolis (SP)";"Total";"Total";"1";"Total";"16095"
"3541059";"Pratânia (SP)";"Total";"Total";"1";"Total";"14955"
"3541109";"Presidente Alves (SP)";"Total";"Total";"1";"Total";"26174"
"3541208";"Presidente Bernardes (SP)";"Total";"Total";"1";"Total";"56009"
"3541307";"Presidente Epitácio (SP)";"Total";"Total";"1";"Total";"75894"
"3541406";"Presidente Prudente (SP)";"Total";"Total";"1";"Total";"29020"
"3541505";"Presidente Venceslau (SP)";"Total";"Total";"1";"Total";"64666"
"3541604";"Promissão (SP)";"Total";"Total";"1";"Total";"48866"
"3541653";"Quadra (SP)";"Total";"Total";"1";"Total";"9756"
"3541703";"Quatá (SP)";"Total";"Total";"1";"Total";"52872"
"3541802";"Queiroz (SP)";"Total";"Total";"1";"Total";"22939"
"3541901";"Queluz (SP)";"Total";"Total";"1";"Total";"8918"
"3542008";"Quintana (SP)";"Total";"Total";"1";"Total";"29869"
"3542107";"Rafard (SP)";"Total";"Total";"1";"Total";"7720"
"3542206";"Rancharia (SP)";"Total";"Total";"1";"Total";"137698"
"3542305";"Redenção da Serra (SP)";"Total";"Total";"1";"Total";"19144"
"3542404";"Regente Feijó (SP)";"Total";"Total";"1";"Total";"20191"
"3542503";"Reginópolis (SP)";"Total";"Total";"1";"Total";"22392"
"3542602";"Registro (SP)";"Total";"Total";"1";"Total";"36711"
"3542701";"Restinga (SP)";"Total";"Total";"1";"Total";"21070"
"3542800";"Ribeira (SP)";"Total";"Total";"1";"Total";"19474"
"3542909";"Ribeirão Bonito (SP)";"Total";"Total";"1";"Total";"33623"
"3543006";"Ribeirão Branco (SP)";"Total";"Total";"1";"Total";"38769"
"3543105";"Ribeirão Corrente (SP)";"Total";"Total";"1";"Total";"11141"
"3543204";"Ribeirão do Sul (SP)";"Total";"Total";"1";"Total";"19522"
"3543238";"Ribeirão dos Índios (SP)";"Total";"Total";"1";"Total";"15423"
"3543253";"Ribeirão Grande (SP)";"Total";"Total";"1";"Total";"10799"
"3543303";"Ribeirão Pires (SP)";"Total";"Total";"1";"Total";"35"
"3543402";"Ribeirão Preto (SP)";"Total";"Total";"1";"Total";"29567"
"3543501";"Riversul (SP)";"Total";"Total";"1";"Total";"35703"
"3543600";"Rifaina (SP)";"Total";"Total";"1";"Total";"5215"
"3543709";"Rincão (SP)";"Total";"Total";"1";"Total";"12149"
"3543808";"Rinópolis (SP)";"Total";"Total";"1";"Total";"29641"
"3543907";"Rio Claro (SP)";"Total";"Total";"1";"Total";"28545"
"3544004";"Rio das Pedras (SP)";"Total";"Total";"1";"Total";"12461"
"3544103";"Rio Grande da Serra (SP)";"Total";"Total";"1";"Total";"19"
"3544202";"Riolândia (SP)";"Total";"Total";"1";"Total";"58280"
"3544251";"Rosana (SP)";"Total";"Total";"1";"Total";"51404"
"3544301";"Roseira (SP)";"Total";"Total";"1";"Total";"7257"
"3544400";"Rubiácea (SP)";"Total";"Total";"1";"Total";"21624"
"3544509";"Rubinéia (SP)";"Total";"Total";"1";"Total";"12986"
"3544608";"Sabino (SP)";"Total";"Total";"1";"Total";"23673"
"3544707";"Sagres (SP)";"Total";"Total";"1";"Total";"12727"
"3544806";"Sales (SP)";"Total";"Total";"1";"Total";"17976"
"3544905";"Sales Oliveira (SP)";"Total";"Total";"1";"Total";"26563"
"3545001";"Salesópolis (SP)";"Total";"Total";"1";"Total";"23828"
"3545100";"Salmourão (SP)";"Total";"Total";"1";"Total";"16978"
"3545159";"Saltinho (SP)";"Total";"Total";"1";"Total";"6752"
"3545209";"Salto (SP)";"Total";"Total";"1";"Total";"4841"
"3545308";"Salto de Pirapora (SP)";"Total";"Total";"1";"Total";"12648"
"3545407";"Salto Grande (SP)";"Total";"Total";"1";"Total";"14784"
"3545506";"Sandovalina (SP)";"Total";"Total";"1";"Total";"39569"
"3545605";"Santa Adélia (SP)";"Total";"Total";"1";"Total";"29513"
"3545704";"Santa Albertina (SP)";"Total";"Total";"1";"Total";"22655"
"3545803";"Santa Bárbara d'Oeste (SP)";"Total";"Total";"1";"Total";"19882"
"3546009";"Santa Branca (SP)";"Total";"Total";"1";"Total";"14542"
"3546108";"Santa Clara d'Oeste (SP)";"Total";"Total";"1";"Total";"13958"
"3546207";"Santa Cruz da Conceição (SP)";"Total";"Total";"1";"Total";"10338"
"3546256";"Santa Cruz da Esperança (SP)";"Total";"Total";"1";"Total";"11886"
"3546306";"Santa Cruz das Palmeiras (SP)";"Total";"Total";"1";"Total";"20957"
"3546405";"Santa Cruz do Rio Pardo (SP)";"Total";"Total";"1";"Total";"99522"
"3546504";"Santa Ernestina (SP)";"Total";"Total";"1";"Total";"6178"
"3546603";"Santa Fé do Sul (SP)";"Total";"Total";"1";"Total";"14157"
"3546702";"Santa Gertrudes (SP)";"Total";"Total";"1";"Total";"6724"
"3546801";"Santa Isabel (SP)";"Total";"Total";"1";"Total";"8819"
"3546900";"Santa Lúcia (SP)";"Total";"Total";"1";"Total";"12772"
"3547007";"Santa Maria da Serra (SP)";"Total";"Total";"1";"Total";"17689"
"3547106";"Santa Mercedes (SP)";"Total";"Total";"1";"Total";"14127"
"3547205";"Santana da Ponte Pensa (SP)";"Total";"Total";"1";"Total";"10772"
"3547304";"Santana de Parnaíba (SP)";"Total";"Total";"1";"Total";"828"
"3547403";"Santa Rita d'Oeste (SP)";"Total";"Total";"1";"Total";"16704"
"3547502";"Santa Rita do Passa Quatro (SP)";"Total";"Total";"1";"Total";"59585"
"3547601";"Santa Rosa de Viterbo (SP)";"Total";"Total";"1";"Total";"23204"
"3547650";"Santa Salete (SP)";"Total";"Total";"1";"Total";"6564"
"3547700";"Santo Anastácio (SP)";"Total";"Total";"1";"Total";"51002"
"3547809";"Santo André (SP)";"Total";"Total";"1";"Total";"18"
"3547908";"Santo Antônio da Alegria (SP)";"Total";"Total";"1";"Total";"24033"
"3548005";"Santo Antônio de Posse (SP)";"Total";"Total";"1";"Total";"10096"
"3548054";"Santo Antônio do Aracanguá (SP)";"Total";"Total";"1";"Total";"99154"
"3548104";"Santo Antônio do Jardim (SP)";"Total";"Total";"1";"Total";"8542"
"3548203";"Santo Antônio do Pinhal (SP)";"Total";"Total";"1";"Total";"4257"
"3548302";"Santo Expedito (SP)";"Total";"Total";"1";"Total";"8519"
"3548401";"Santópolis do Aguapeí (SP)";"Total";"Total";"1";"Total";"9683"
"3548500";"Santos (SP)";"Total";"Total";"1";"Total";"X"
"3548609";"São Bento do Sapucaí (SP)";"Total";"Total";"1";"Total";"15085"
"3548708";"São Bernardo do Campo (SP)";"Total";"Total";"1";"Total";"284"
"3548807";"São Caetano do Sul (SP)";"Total";"Total";"1";"Total";"4"
"3548906";"São Carlos (SP)";"Total";"Total";"1";"Total";"73272"
"3549003";"São Francisco (SP)";"Total";"Total";"1";"Total";"6578"
"3549102";"São João da Boa Vista (SP)";"Total";"Total";"1";"Total";"35977"
"3549201";"São João das Duas Pontes (SP)";"Total";"Total";"1";"Total";"8314"
"3549250";"São João de Iracema (SP)";"Total";"Total";"1";"Total";"10746"
"3549300";"São João do Pau d'Alho (SP)";"Total";"Total";"1";"Total";"8857"
"3549409";"São Joaquim da Barra (SP)";"Total";"Total";"1";"Total";"31688"
"3549508";"São José da Bela Vista (SP)";"Total";"Total";"1";"Total";"18430"
"3549607";"São José do Barreiro (SP)";"Total";"Total";"1";"Total";"19157"
"3549706";"São José do Rio Pardo (SP)";"Total";"Total";"1";"Total";"29217"
"3549805";"São José do Rio Preto (SP)";"Total";"Total";"1";"Total";"17218"
"3549904";"São José dos Campos (SP)";"Total";"Total";"1";"Total";"43518"
"3549953";"São Lourenço da Serra (SP)";"Total";"Total";"1";"Total";"1871"
"3550001";"São Luiz do Paraitinga (SP)";"Total";"Total";"1";"Total";"32076"
"3550100";"São Manuel (SP)";"Total";"Total";"1";"Total";"47494"
"3550209";"São Miguel Arcanjo (SP)";"Total";"Total";"1";"Total";"75866"
"3550308";"São Paulo (SP)";"Total";"Total";"1";"Total";"10954"
"3550407";"São Pedro (SP)";"Total";"Total";"1";"Total";"48166"
"3550506";"São Pedro do Turvo (SP)";"Total";"Total";"1";"Total";"51001"
"3550605";"São Roque (SP)";"Total";"Total";"1";"Total";"1903"
"3550704";"São Sebastião (SP)";"Total";"Total";"1";"Total";"696"
"3550803";"São Sebastião da Grama (SP)";"Total";"Total";"1";"Total";"18656"
"3550902";"São Simão (SP)";"Total";"Total";"1";"Total";"44949"
"3551009";"São Vicente (SP)";"Total";"Total";"1";"Total";"93"
"3551108";"Sarapuí (SP)";"Total";"Total";"1";"Total";"24350"
"3551207";"Sarutaiá (SP)";"Total";"Total";"1";"Total";"8206"
"3551306";"Sebastianópolis do Sul (SP)";"Total";"Total";"1";"Total";"10649"
"3551405";"Serra Azul (SP)";"Total";"Total";"1";"Total";"20622"
"3551504";"Serrana (SP)";"Total";"Total";"1";"Total";"9642"
"3551603";"Serra Negra (SP)";"Total";"Total";"1";"Total";"13628"
"3551702";"Sertãozinho (SP)";"Total";"Total";"1";"Total";"27344"
"3551801";"Sete Barras (SP)";"Total";"Total";"1";"Total";"39589"
"3551900";"Severínia (SP)";"Total";"Total";"1";"Total";"11033"
"3552007";"Silveiras (SP)";"Total";"Total";"1";"Total";"24208"
"3552106";"Socorro (SP)";"Total";"Total";"1";"Total";"30684"
"3552205";"Sorocaba (SP)";"Total";"Total";"1";"Total";"12080"
"3552304";"Sud Mennucci (SP)";"Total";"Total";"1";"Total";"42929"
"3552403";"Sumaré (SP)";"Total";"Total";"1";"Total";"4319"
"3552502";"Suzano (SP)";"Total";"Total";"1";"Total";"3746"
"3552551";"Suzanápolis (SP)";"Total";"Total";"1";"Total";"28239"
"3552601";"Tabapuã (SP)";"Total";"Total";"1";"Total";"26775"
"3552700";"Tabatinga (SP)";"Total";"Total";"1";"Total";"22653"
"3552809";"Taboão da Serra (SP)";"Total";"Total";"1";"Total";"X"
"3552908";"Taciba (SP)";"Total";"Total";"1";"Total";"45029"
"3553005";"Taguaí (SP)";"Total";"Total";"1";"Total";"9572"
"3553104";"Taiaçu (SP)";"Total";"Total";"1";"Total";"11635"
"3553203";"Taiúva (SP)";"Total";"Total";"1";"Total";"10868"
"3553302";"Tambaú (SP)";"Total";"Total";"1";"Total";"43280"
"3553401";"Tanabi (SP)";"Total";"Total";"1";"Total";"60658"
"3553500";"Tapiraí (SP)";"Total";"Total";"1";"Total";"8072"
"3553609";"Tapiratiba (SP)";"Total";"Total";"1";"Total";"14515"
"3553658";"Taquaral (SP)";"Total";"Total";"1";"Total";"4592"
"3553708";"Taquaritinga (SP)";"Total";"Total";"1";"Total";"49903"
"3553807";"Taquarituba (SP)";"Total";"Total";"1";"Total";"37380"
"3553856";"Taquarivaí (SP)";"Total";"Total";"1";"Total";"18441"
"3553906";"Tarabai (SP)";"Total";"Total";"1";"Total";"15139"
"3553955";"Tarumã (SP)";"Total";"Total";"1";"Total";"23406"
"3554003";"Tatuí (SP)";"Total";"Total";"1";"Total";"24227"
"3554102";"Taubaté (SP)";"Total";"Total";"1";"Total";"31320"
"3554201";"Tejupá (SP)";"Total";"Total";"1";"Total";"17957"
"3554300";"Teodoro Sampaio (SP)";"Total";"Total";"1";"Total";"101665"
"3554409";"Terra Roxa (SP)";"Total";"Total";"1";"Total";"19714"
"3554508";"Tietê (SP)";"Total";"Total";"1";"Total";"26501"
"3554607";"Timburi (SP)";"Total";"Total";"1";"Total";"9424"
"3554656";"Torre de Pedra (SP)";"Total";"Total";"1";"Total";"7914"
"3554706";"Torrinha (SP)";"Total";"Total";"1";"Total";"26537"
"3554755";"Trabiju (SP)";"Total";"Total";"1";"Total";"2110"
"3554805";"Tremembé (SP)";"Total";"Total";"1";"Total";"9925"
"3554904";"Três Fronteiras (SP)";"Total";"Total";"1";"Total";"13458"
"3554953";"Tuiuti (SP)";"Total";"Total";"1";"Total";"9692"
"3555000";"Tupã (SP)";"Total";"Total";"1";"Total";"56070"
"3555109";"Tupi Paulista (SP)";"Total";"Total";"1";"Total";"22635"
"3555208";"Turiúba (SP)";"Total";"Total";"1";"Total";"14358"
"3555307";"Turmalina (SP)";"Total";"Total";"1";"Total";"13661"
"3555356";"Ubarana (SP)";"Total";"Total";"1";"Total";"19819"
"3555406";"Ubatuba (SP)";"Total";"Total";"1";"Total";"2009"
"3555505";"Ubirajara (SP)";"Total";"Total";"1";"Total";"21328"
"3555604";"Uchoa (SP)";"Total";"Total";"1";"Total";"21223"
"3555703";"União Paulista (SP)";"Total";"Total";"1";"Total";"6268"
"3555802";"Urânia (SP)";"Total";"Total";"1";"Total";"15854"
"3555901";"Uru (SP)";"Total";"Total";"1";"Total";"11784"
"3556008";"Urupês (SP)";"Total";"Total";"1";"Total";"28195"
"3556107";"Valentim Gentil (SP)";"Total";"Total";"1";"Total";"12660"
"3556206";"Valinhos (SP)";"Total";"Total";"1";"Total";"4227"
"3556305";"Valparaíso (SP)";"Total";"Total";"1";"Total";"79523"
"3556354";"Vargem (SP)";"Total";"Total";"1";"Total";"7281"
"3556404";"Vargem Grande do Sul (SP)";"Total";"Total";"1";"Total";"19576"
"3556453";"Vargem Grande Paulista (SP)";"Total";"Total";"1";"Total";"445"
"3556503";"Várzea Paulista (SP)";"Total";"Total";"1";"Total";"406"
"3556602";"Vera Cruz (SP)";"Total";"Total";"1";"Total";"26141"
"3556701";"Vinhedo (SP)";"Total";"Total";"1";"Total";"2150"
"3556800";"Viradouro (SP)";"Total";"Total";"1";"Total";"19792"
"3556909";"Vista Alegre do Alto (SP)";"Total";"Total";"1";"Total";"8237"
"3556958";"Vitória Brasil (SP)";"Total";"Total";"1";"Total";"4179"
"3557006";"Votorantim (SP)";"Total";"Total";"1";"Total";"8632"
"3557105";"Votuporanga (SP)";"Total";"Total";"1";"Total";"27907"
"3557154";"Zacarias (SP)";"Total";"Total";"1";"Total";"23551"
"3557204";"Chavantes (SP)";"Total";"Total";"1";"Total";"13425"
"3557303";"Estiva Gerbi (SP)";"Total";"Total";"1";"Total";"4419"
"4100103";"Abatiá (PR)";"Total";"Total";"1";"Total";"20765"
"4100202";"Adrianópolis (PR)";"Total";"Total";"1";"Total";"95439"
"4100301";"Agudos do Sul (PR)";"Total";"Total";"1";"Total";"10566"
"4100400";"Almirante Tamandaré (PR)";"Total";"Total";"1";"Total";"2612"
"4100459";"Altamira do Paraná (PR)";"Total";"Total";"1";"Total";"36852"
"4100509";"Altônia (PR)";"Total";"Total";"1";"Total";"44658"
"4100608";"Alto Paraná (PR)";"Total";"Total";"1";"Total";"36386"
"4100707";"Alto Piquiri (PR)";"Total";"Total";"1";"Total";"37894"
"4100806";"Alvorada do Sul (PR)";"Total";"Total";"1";"Total";"27496"
"4100905";"Amaporã (PR)";"Total";"Total";"1";"Total";"35458"
"4101002";"Ampére (PR)";"Total";"Total";"1";"Total";"27395"
"4101051";"Anahy (PR)";"Total";"Total";"1";"Total";"8943"
"4101101";"Andirá (PR)";"Total";"Total";"1";"Total";"19468"
"4101150";"Ângulo (PR)";"Total";"Total";"1";"Total";"9232"
"4101200";"Antonina (PR)";"Total";"Total";"1";"Total";"17333"
"4101309";"Antônio Olinto (PR)";"Total";"Total";"1";"Total";"29641"
"4101408";"Apucarana (PR)";"Total";"Total";"1";"Total";"45066"
"4101507";"Arapongas (PR)";"Total";"Total";"1";"Total";"28169"
"4101606";"Arapoti (PR)";"Total";"Total";"1";"Total";"120171"
"4101655";"Arapuã (PR)";"Total";"Total";"1";"Total";"19499"
"4101705";"Araruna (PR)";"Total";"Total";"1";"Total";"43480"
"4101804";"Araucária (PR)";"Total";"Total";"1";"Total";"27129"
"4101853";"Ariranha do Ivaí (PR)";"Total";"Total";"1";"Total";"21293"
"4101903";"Assaí (PR)";"Total";"Total";"1";"Total";"29879"
"4102000";"Assis Chateaubriand (PR)";"Total";"Total";"1";"Total";"79997"
"4102109";"Astorga (PR)";"Total";"Total";"1";"Total";"40534"
"4102208";"Atalaia (PR)";"Total";"Total";"1";"Total";"11601"
"4102307";"Balsa Nova (PR)";"Total";"Total";"1";"Total";"24194"
"4102406";"Bandeirantes (PR)";"Total";"Total";"1";"Total";"28026"
"4102505";"Barbosa Ferraz (PR)";"Total";"Total";"1";"Total";"51860"
"4102604";"Barracão (PR)";"Total";"Total";"1";"Total";"15456"
"4102703";"Barra do Jacaré (PR)";"Total";"Total";"1";"Total";"8131"
"4102752";"Bela Vista da Caroba (PR)";"Total";"Total";"1";"Total";"13391"
"4102802";"Bela Vista do Paraíso (PR)";"Total";"Total";"1";"Total";"20106"
"4102901";"Bituruna (PR)";"Total";"Total";"1";"Total";"100429"
"4103008";"Boa Esperança (PR)";"Total";"Total";"1";"Total";"28770"
"4103024";"Boa Esperança do Iguaçu (PR)";"Total";"Total";"1";"Total";"13162"
"4103040";"Boa Ventura de São Roque (PR)";"Total";"Total";"1";"Total";"52519"
"4103057";"Boa Vista da Aparecida (PR)";"Total";"Total";"1";"Total";"22156"
"4103107";"Bocaiúva do Sul (PR)";"Total";"Total";"1";"Total";"29039"
"4103156";"Bom Jesus do Sul (PR)";"Total";"Total";"1";"Total";"16978"
"4103206";"Bom Sucesso (PR)";"Total";"Total";"1";"Total";"29337"
"4103222";"Bom Sucesso do Sul (PR)";"Total";"Total";"1";"Total";"16601"
"4103305";"Borrazópolis (PR)";"Total";"Total";"1";"Total";"30502"
"4103354";"Braganey (PR)";"Total";"Total";"1";"Total";"31210"
"4103370";"Brasilândia do Sul (PR)";"Total";"Total";"1";"Total";"25569"
"4103404";"Cafeara (PR)";"Total";"Total";"1";"Total";"17225"
"4103453";"Cafelândia (PR)";"Total";"Total";"1";"Total";"24201"
"4103479";"Cafezal do Sul (PR)";"Total";"Total";"1";"Total";"28939"
"4103503";"Califórnia (PR)";"Total";"Total";"1";"Total";"13333"
"4103602";"Cambará (PR)";"Total";"Total";"1";"Total";"32553"
"4103701";"Cambé (PR)";"Total";"Total";"1";"Total";"38751"
"4103800";"Cambira (PR)";"Total";"Total";"1";"Total";"13647"
"4103909";"Campina da Lagoa (PR)";"Total";"Total";"1";"Total";"68266"
"4103958";"Campina do Simão (PR)";"Total";"Total";"1";"Total";"32334"
"4104006";"Campina Grande do Sul (PR)";"Total";"Total";"1";"Total";"23776"
"4104055";"Campo Bonito (PR)";"Total";"Total";"1";"Total";"38326"
"4104105";"Campo do Tenente (PR)";"Total";"Total";"1";"Total";"21932"
"4104204";"Campo Largo (PR)";"Total";"Total";"1";"Total";"64323"
"4104253";"Campo Magro (PR)";"Total";"Total";"1";"Total";"18780"
"4104303";"Campo Mourão (PR)";"Total";"Total";"1";"Total";"66101"
"4104402";"Cândido de Abreu (PR)";"Total";"Total";"1";"Total";"114716"
"4104428";"Candói (PR)";"Total";"Total";"1";"Total";"94599"
"4104451";"Cantagalo (PR)";"Total";"Total";"1";"Total";"43858"
"4104501";"Capanema (PR)";"Total";"Total";"1";"Total";"33385"
